Date,Time,Open,High,Low,Close
03/30/2004,00:00,4352.5,4516.5,4313.5,4510.5
04/06/2004,00:00,4504.5,4686.5,4461.0,4678.0
04/13/2004,00:00,4685.5,4717.5,4619.0,4644.5
04/20/2004,00:00,4674.5,4717.5,4590.5,4650.5
04/27/2004,00:00,4666.5,4778.0,4614.5,4744.5
05/04/2004,00:00,4745.5,4771.0,4560.5,4613.0
05/11/2004,00:00,4619.0,4647.0,4389.0,4408.5
05/18/2004,00:00,4425.0,4472.0,4324.0,4365.5
05/25/2004,00:00,4384.5,4514.0,4367.0,4478.0
06/01/2004,00:00,4444.0,4552.5,4419.0,4527.0
06/08/2004,00:00,4536.0,4650.5,4464.0,4631.5
06/15/2004,00:00,4648.5,4650.5,4534.0,4534.0
06/22/2004,00:00,4550.5,4662.5,4541.0,4617.5
06/29/2004,00:00,4599.0,4713.0,4541.0,4698.5
07/06/2004,00:00,4689.0,4726.5,4558.0,4636.5
07/13/2004,00:00,4630.0,4632.0,4502.0,4510.5
07/20/2004,00:00,4529.5,4540.5,4403.5,4419.5
07/27/2004,00:00,4414.0,4518.5,4365.5,4372.5
08/03/2004,00:00,4385.0,4530.5,4380.0,4489.5
08/10/2004,00:00,4495.0,4509.5,4278.0,4299.5
08/17/2004,00:00,4311.0,4347.5,4230.0,4311.5
08/24/2004,00:00,4307.5,4412.5,4289.0,4384.5
08/31/2004,00:00,4385.0,4471.5,4373.5,4447.5
09/07/2004,00:00,4429.5,4519.5,4386.5,4482.5
09/14/2004,00:00,4500.0,4572.5,4444.0,4563.0
09/21/2004,00:00,4559.5,4628.5,4533.0,4597.0
09/28/2004,00:00,4597.5,4626.5,4472.5,4504.5
10/05/2004,00:00,4478.5,4702.5,4472.5,4665.5
10/12/2004,00:00,4665.5,4702.5,4564.5,4649.0
10/19/2004,00:00,4630.5,4638.0,4515.0,4560.5
10/26/2004,00:00,4578.5,4604.5,4450.5,4478.5
11/02/2004,00:00,4483.5,4665.5,4460.5,4617.5
11/09/2004,00:00,4640.5,4731.5,4627.0,4698.0
11/16/2004,00:00,4690.5,4786.5,4672.0,4760.0
11/23/2004,00:00,4753.5,4814.5,4699.0,4760.5
11/30/2004,00:00,4758.5,4831.0,4714.0,4770.0
12/07/2004,00:00,4773.5,4844.5,4713.5,4817.5
12/14/2004,00:00,4808.0,4857.5,4738.0,4835.5
12/21/2004,00:00,4848.5,4872.0,4787.0,4832.0
12/28/2004,00:00,4826.0,4890.5,4826.0,4873.5
01/04/2005,00:00,4890.5,4936.0,4865.5,4912.5
01/11/2005,00:00,4913.5,4951.0,4850.5,4937.5
01/18/2005,00:00,4928.5,4939.0,4806.0,4843.0
01/25/2005,00:00,4857.5,4890.0,4778.0,4815.0
02/01/2005,00:00,4812.0,4904.5,4802.5,4876.5
02/08/2005,00:00,4872.0,4992.5,4865.5,4977.5
02/15/2005,00:00,4984.0,5023.0,4952.5,4995.5
02/22/2005,00:00,4998.0,5023.0,4912.5,4972.5
03/01/2005,00:00,4960.0,4998.5,4886.5,4935.5
03/08/2005,00:00,4952.0,5044.0,4944.5,5035.0
03/15/2005,00:00,5027.0,5037.0,4937.0,4971.0
03/22/2005,00:00,4978.5,4999.5,4901.0,4938.5
03/29/2005,00:00,4927.5,4988.0,4898.5,4981.0
04/05/2005,00:00,4953.5,5020.5,4934.0,4975.0
04/12/2005,00:00,4990.5,5036.5,4977.5,5025.5
04/19/2005,00:00,5019.0,5046.5,4804.0,4823.5
04/26/2005,00:00,4837.5,4870.0,4759.5,4860.5
05/03/2005,00:00,4862.5,4866.0,4772.5,4840.5
