date,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
18,0.7949449653485527,0.8517361111111111,15.180960765291621,0.4638888888888889,0.38784722222222223,0.812125748502994,0.7743957027752909,1.2501628664495115,0.0,0.5694444444444444,1.0,0.035214416594673614,0.75,0.25,0.6018518518518519,0.4722222222222222,0.9625,0.0,0.5902777777777778,1.0,0.03010103434732477,0.8680555555555556,0.13194444444444445,0.592,0.5789473684210527,1.0253164556962024,0.0
19,0.7740585774058577,0.9128472222222223,15.157197021154996,0.5135416666666667,0.3993055555555556,0.7843137254901961,0.7608695652173914,1.2990228013029317,0.0,0.5979381443298969,0.6736111111111112,0.08507714651636979,0.4791666666666667,0.19444444444444445,0.6666666666666666,0.42857142857142855,0.675,0.0,0.6304347826086957,0.6388888888888888,0.037459740738556874,0.5208333333333334,0.11805555555555555,0.64,0.5882352941176471,0.7088607594936709,0.0
20,0.7782540919719407,0.8909722222222223,15.217293086881723,0.49444444444444446,0.39652777777777776,0.7921348314606742,0.7609457092819615,1.2781758957654723,0.0,0.5069444444444444,1.0,-0.010540225435730938,0.2708333333333333,0.7291666666666666,0.6410256410256411,0.45714285714285713,0.85,0.0,0.4791666666666667,1.0,-0.0739721049311654,0.16666666666666666,0.8333333333333334,0.5833333333333334,0.4583333333333333,0.8227848101265823,0.0
21,0.7622981599699586,0.9246527777777778,15.011584476131544,0.4357638888888889,0.4888888888888889,0.8215139442231075,0.7095170454545454,1.295114006514658,0.0,0.5352112676056338,0.9861111111111112,0.04893015549818368,0.375,0.6111111111111112,0.6481481481481481,0.4659090909090909,0.8875,0.0,0.5492957746478874,0.9861111111111112,-0.010359004569851598,0.2569444444444444,0.7291666666666666,0.6756756756756757,0.5047619047619047,0.9367088607594937,0.0
22,0.7741450582487787,0.9239583333333333,15.037708602014506,0.4583333333333333,0.465625,0.8196969696969697,0.7293064876957495,1.3172638436482085,0.0,0.6041666666666666,1.0,0.14785486892450914,0.6388888888888888,0.3611111111111111,0.6521739130434783,0.5192307692307693,1.025,0.0,0.6111111111111112,1.0,0.027850287543254876,0.6527777777777778,0.3472222222222222,0.6382978723404256,0.56,1.0632911392405062,0.0
23,0.791039156626506,0.9222222222222223,15.610815578539295,0.5163194444444444,0.4059027777777778,0.8016139878950908,0.7775876817792986,1.3407166123778502,0.0,0.5763888888888888,1.0,0.10711126226247587,0.5277777777777778,0.4722222222222222,0.6447368421052632,0.5,0.975,0.0,0.6041666666666666,1.0,0.05042389805154311,0.5625,0.4375,0.6419753086419753,0.5555555555555556,1.0506329113924051,0.0
24,0.7923476968796433,0.9347222222222222,15.342339094907327,0.49930555555555556,0.4354166666666667,0.8157162726008345,0.7655502392344498,1.3602605863192183,0.0,0.5970149253731343,0.9305555555555556,0.0665710125042958,0.7152777777777778,0.2152777777777778,0.6213592233009708,0.5161290322580645,0.95,0.0,0.6194029850746269,0.9305555555555556,0.0726174783750633,0.7986111111111112,0.13194444444444445,0.6173913043478261,0.631578947368421,1.0,0.0
25,0.7940956651718983,0.9291666666666667,15.741569964782293,0.5097222222222222,0.41944444444444445,0.8051771117166212,0.7806291390728477,1.3563517915309447,0.0,0.5766423357664233,0.9513888888888888,0.07708332438267011,0.7083333333333334,0.24305555555555555,0.6078431372549019,0.4857142857142857,0.925,0.0,0.5954198473282443,0.9097222222222222,0.08025460858492689,0.7013888888888888,0.20833333333333334,0.594059405940594,0.6,0.9367088607594937,0.0
26,0.7963582311408398,0.934375,15.854840833473991,0.5024305555555556,0.43194444444444446,0.8140981340704907,0.7757234726688103,1.3693811074918567,0.0,0.5547445255474452,0.9513888888888888,0.0971014480066293,0.4444444444444444,0.5069444444444444,0.640625,0.4794520547945205,0.9125,0.0,0.6076923076923076,0.9027777777777778,0.06294812301828769,0.3402777777777778,0.5625,0.6938775510204082,0.5555555555555556,0.9493670886075949,0.0
27,0.8019287833827893,0.9361111111111111,16.595935775394942,0.48020833333333335,0.45590277777777777,0.8322487346348517,0.76999238385377,1.3830618892508144,0.0,0.5833333333333334,1.0,0.11957194322071917,0.5625,0.4375,0.6419753086419753,0.5079365079365079,0.9875,0.0,0.5833333333333334,1.0,0.03322744381315215,0.5069444444444444,0.4930555555555556,0.6301369863013698,0.5352112676056338,1.0126582278481013,0.0
28,0.792480648728345,0.9420138888888889,15.663004283830078,0.48506944444444444,0.45694444444444443,0.8239083750894775,0.7591185410334347,1.375244299674267,0.0,0.5694444444444444,1.0,0.0881423044154984,0.625,0.375,0.6222222222222222,0.48148148148148145,0.9625,0.0,0.5902777777777778,1.0,0.04541447220232454,0.5833333333333334,0.4166666666666667,0.6190476190476191,0.55,1.0253164556962024,0.0
29,0.8000739098300074,0.9395833333333333,16.10521103966151,0.490625,0.44895833333333335,0.8308563340410474,0.7664346481051817,1.3830618892508144,0.0,0.5357142857142857,0.7777777777777778,0.019000465709502756,0.3263888888888889,0.4513888888888889,0.5957446808510638,0.49230769230769234,0.7,0.0,0.6153846153846154,0.7222222222222222,0.03630131369883283,0.20833333333333334,0.5138888888888888,0.7,0.581081081081081,0.759493670886076,0.0
30,0.8116270290675727,0.9197916666666667,15.892791301262262,0.46111111111111114,0.45868055555555554,0.8501506024096386,0.7728993186979561,1.3732899022801304,0.0,0.5833333333333334,1.0,0.09552665333438447,0.7777777777777778,0.2222222222222222,0.6071428571428571,0.5,0.9875,0.0,0.6111111111111112,1.0,0.0765961780287347,0.8055555555555556,0.19444444444444445,0.6120689655172413,0.6071428571428571,1.0632911392405062,0.0
31,0.8066764490095378,0.9465277777777777,15.958082423342896,0.5152777777777777,0.43125,0.8214285714285714,0.789049919484702,1.4084690553745929,0.0,0.5277777777777778,1.0,0.0642573747075395,0.5902777777777778,0.4097222222222222,0.5882352941176471,0.4406779661016949,0.8875,0.0,0.5416666666666666,1.0,-0.016698883933367912,0.5069444444444444,0.4930555555555556,0.589041095890411,0.49295774647887325,0.9367088607594937,0.0
32,0.8121323529411765,0.9444444444444444,16.363708575654062,0.4913194444444444,0.453125,0.8353356890459364,0.7869731800766283,1.4110749185667752,0.0,0.5347222222222222,1.0,0.09412348739563146,0.5972222222222222,0.4027777777777778,0.5930232558139535,0.4482758620689655,0.9,0.0,0.6111111111111112,1.0,0.04473471133132603,0.5208333333333334,0.4791666666666667,0.6533333333333333,0.5652173913043478,1.0632911392405062,0.0
33,0.8150709865307608,0.9538194444444444,16.43645717205563,0.4864583333333333,0.4673611111111111,0.8508208422555318,0.7778603268945022,1.4299674267100977,0.0,0.5347222222222222,1.0,0.02623983502558707,0.4861111111111111,0.5138888888888888,0.6142857142857143,0.4594594594594595,0.9,0.0,0.5833333333333334,1.0,0.03727179946714081,0.3263888888888889,0.6736111111111112,0.7021276595744681,0.5257731958762887,1.0126582278481013,0.0
34,0.8088662790697675,0.9555555555555556,16.32351959928472,0.4774305555555556,0.478125,0.8458181818181818,0.7719680464778504,1.4221498371335506,0.0,0.5277777777777778,1.0,0.03001252577136428,0.5277777777777778,0.4722222222222222,0.5921052631578947,0.45588235294117646,0.8875,0.0,0.5625,1.0,0.03528605217130453,0.4305555555555556,0.5694444444444444,0.6290322580645161,0.5121951219512195,0.9746835443037974,0.0
35,0.8150709865307608,0.9538194444444444,16.50759544757391,0.47291666666666665,0.4809027777777778,0.8597650513950074,0.7711191335740072,1.4306188925081433,0.0,0.5138888888888888,1.0,-0.030366514926048273,0.5694444444444444,0.4305555555555556,0.573170731707317,0.43548387096774194,0.8625,0.0,0.5763888888888888,1.0,0.023523571543022453,0.4722222222222222,0.5277777777777778,0.6323529411764706,0.5263157894736842,1.0,0.0
36,0.8089148702959444,0.9503472222222222,16.42721676650996,0.4909722222222222,0.459375,0.8394625176803394,0.7762660619803476,1.4143322475570033,0.0,0.5692307692307692,0.9027777777777778,0.07644607328394108,0.6319444444444444,0.2708333333333333,0.6043956043956044,0.48717948717948717,0.8625,0.0,0.5901639344262295,0.8472222222222222,0.044433614445053254,0.625,0.2222222222222222,0.6111111111111112,0.53125,0.8607594936708861,0.0
37,0.8279569892473119,0.9364583333333333,16.57473268117354,0.4982638888888889,0.43819444444444444,0.8473867595818816,0.805863708399366,1.4319218241042346,0.0,0.5416666666666666,1.0,0.06452680774120263,0.6041666666666666,0.3958333333333333,0.5977011494252874,0.45614035087719296,0.9125,0.0,0.5555555555555556,1.0,-0.037817039666627264,0.5694444444444444,0.4305555555555556,0.5975609756097561,0.5,0.9620253164556962,0.0
38,0.8096288129364204,0.9447916666666667,16.146512235660232,0.496875,0.4479166666666667,0.8308874912648497,0.786046511627907,1.4071661237785016,0.0,0.5384615384615384,0.9930555555555556,0.03193364929750131,0.5763888888888888,0.4166666666666667,0.6024096385542169,0.45,0.9,0.0,0.5804195804195804,0.9930555555555556,0.0024604257286440882,0.5208333333333334,0.4722222222222222,0.6266666666666667,0.5294117647058824,1.0,0.0
