date,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward,testAccuracy,testCoverage,testReward
11200,0.5231481481481481,0.72,4425.0,0.6666666666666666,0.45,675.0,0.5,0.7,462.5
11741,0.5488372093023256,0.7166666666666667,7150.0,0.42857142857142855,0.7,375.0,0.7272727272727273,0.55,512.5
12265,0.5576923076923077,0.6933333333333334,8637.5,0.7272727272727273,0.55,512.5,0.5384615384615384,0.65,1175.0
12803,0.5509259259259259,0.72,3875.0,0.46153846153846156,0.65,12.5,0.5555555555555556,0.9,812.5
13303,0.5654205607476636,0.7133333333333334,10037.5,0.5555555555555556,0.9,812.5,0.6470588235294118,0.85,1062.5
13820,0.5476190476190477,0.7,7900.0,0.6470588235294118,0.85,837.5,0.7647058823529411,0.85,2100.0
14338,0.5707762557077626,0.73,9500.0,0.7647058823529411,0.85,2100.0,0.8333333333333334,0.6,2400.0
14885,0.5753424657534246,0.73,11562.5,0.8333333333333334,0.6,2237.5,0.6,0.75,825.0
15385,0.5972222222222222,0.72,14287.5,0.6,0.75,825.0,0.5333333333333333,0.75,12.5
15926,0.5849056603773585,0.7066666666666667,11400.0,0.5333333333333333,0.75,675.0,0.5789473684210527,0.95,-2150.0
16442,0.5915492957746479,0.71,9887.5,0.5789473684210527,0.95,-2150.0,0.5,1.0,-1775.0
16989,0.5857142857142857,0.7,3612.5,0.45,1.0,-2725.0,0.5625,0.8,2362.5
17507,0.5956521739130435,0.7666666666666667,10687.5,0.5625,0.8,2362.5,0.47368421052631576,0.95,-1700.0
18054,0.6008583690987125,0.7766666666666666,8137.5,0.5,1.0,-1525.0,0.5625,0.8,3012.5
18578,0.5774058577405857,0.7966666666666666,6587.5,0.5625,0.8,3012.5,0.46153846153846156,0.65,-3150.0
19115,0.5916666666666667,0.8,11050.0,0.5,0.7,-3112.5,0.5,0.8,-4225.0
19561,0.573170731707317,0.82,7050.0,0.5,0.8,-4225.0,0.47058823529411764,0.85,-3250.0
20102,0.5596707818930041,0.81,-2375.0,0.4444444444444444,0.9,-4000.0,0.5714285714285714,0.7,6200.0
20620,0.5504201680672269,0.7933333333333333,5337.5,0.5714285714285714,0.7,6200.0,0.5714285714285714,0.7,2250.0
21160,0.5220883534136547,0.83,-187.5,0.5714285714285714,0.7,1000.0,0.35294117647058826,0.85,-4637.5
21684,0.5041666666666667,0.8,-3875.0,0.35294117647058826,0.85,-4637.5,0.3333333333333333,0.75,-4562.5
22225,0.5041666666666667,0.8,-8712.5,0.35294117647058826,0.85,-5150.0,0.45454545454545453,0.55,512.5
22741,0.5021097046413502,0.79,-16425.0,0.45454545454545453,0.55,512.5,0.42105263157894735,0.95,-2650.0
23288,0.4956896551724138,0.7733333333333333,-6350.0,0.4444444444444444,0.9,-2550.0,0.2631578947368421,0.95,-9500.0
23806,0.4698275862068966,0.7733333333333333,-19300.0,0.2631578947368421,0.95,-9500.0,0.5625,0.8,2450.0
24353,0.5,0.76,-15050.0,0.5625,0.8,2287.5,0.6111111111111112,0.9,600.0
24877,0.4801762114537445,0.7566666666666667,-15387.5,0.6111111111111112,0.9,600.0,0.4375,0.8,287.5
