Reward,Capital,AvgRw,percMiss,percHit,percHold
-414.5,-8782.0,-61.84507042253521,63,35,45
-539.5,-9321.5,-65.18531468531468,63,35,46
-564.5,-9886.0,-68.65277777777777,63,35,46
108.5,-9777.5,-67.43103448275862,63,35,46
-502.0,-10279.5,-70.40753424657534,63,35,46
60.5,-10219.0,-69.51700680272108,63,36,46
235.5,-9983.5,-67.45608108108108,62,36,45
-1202.0,-11185.5,-75.07046979865771,63,36,46
973.0,-10212.5,-68.08333333333333,62,36,46
-716.5,-10929.0,-72.37748344370861,62,36,45
-539.5,-11468.5,-75.45065789473684,63,36,46
1598.0,-9870.5,-64.51307189542484,62,36,45
1635.5,-8235.0,-53.47402597402598,62,37,45
1123.0,-7112.0,-45.883870967741935,61,37,45
435.5,-6676.5,-42.79807692307692,61,37,44
-266.5,-6943.0,-44.22292993630573,61,37,44
-339.5,-7282.5,-46.09177215189873,62,37,44
-502.0,-7784.5,-48.959119496855344,62,37,44
1085.5,-6699.0,-41.86875,61,37,44
-502.0,-7201.0,-44.72670807453416,62,37,44
1623.0,-5578.0,-34.4320987654321,61,37,44
-291.5,-5869.5,-36.00920245398773,61,37,44
148.0,-5721.5,-34.88719512195122,61,37,43
648.0,-5073.5,-30.74848484848485,61,38,43
85.5,-4988.0,-30.048192771084338,60,38,43
448.0,-4540.0,-27.18562874251497,60,38,43
-439.5,-4979.5,-29.639880952380953,60,38,42
108.5,-4871.0,-28.82248520710059,60,39,42
60.5,-4810.5,-28.29705882352941,60,39,42
-27.0,-4837.5,-28.289473684210527,60,39,42
485.5,-4352.0,-25.302325581395348,59,39,41
-502.0,-4854.0,-28.057803468208093,60,39,42
523.0,-4331.0,-24.89080459770115,59,39,41
58.5,-4272.5,-24.414285714285715,59,40,41
-502.0,-4774.5,-27.12784090909091,59,39,42
185.5,-4589.0,-25.926553672316384,59,40,41
-514.5,-5103.5,-28.671348314606742,59,39,42
-502.0,-5605.5,-31.31564245810056,59,39,42
560.5,-5045.0,-28.02777777777778,59,40,42
-416.5,-5461.5,-30.174033149171272,59,39,41
-664.5,-6126.0,-33.65934065934066,59,39,42
-502.0,-6628.0,-36.21857923497268,60,39,42
348.0,-6280.0,-34.130434782608695,59,39,42
173.0,-6107.0,-33.01081081081081,59,40,42
785.5,-5321.5,-28.61021505376344,59,40,41
108.5,-5213.0,-27.877005347593585,58,40,41
-64.5,-5277.5,-28.0718085106383,59,40,41
-2.0,-5279.5,-27.933862433862434,59,40,41
-102.0,-5381.5,-28.323684210526316,59,40,41
360.5,-5021.0,-26.287958115183248,59,40,40
-39.5,-5060.5,-26.356770833333332,59,40,40
-4.0,-5064.5,-26.240932642487046,59,39,40
23.0,-5041.5,-25.987113402061855,59,40,40
-252.0,-5293.5,-27.146153846153847,59,40,40
-552.0,-5845.5,-29.823979591836736,59,39,40
60.5,-5785.0,-29.365482233502537,59,40,40
-52.0,-5837.0,-29.47979797979798,59,39,39
208.5,-5628.5,-28.28391959798995,59,40,39
235.5,-5393.0,-26.965,59,40,39
110.5,-5282.5,-26.281094527363184,58,40,39
-502.0,-5784.5,-28.636138613861387,58,40,39
-14.5,-5799.0,-28.56650246305419,59,40,39
-502.0,-6301.0,-30.887254901960784,59,40,39
-66.5,-6367.5,-31.0609756097561,59,40,39
623.0,-5744.5,-27.885922330097088,59,40,39
-514.5,-6259.0,-30.23671497584541,59,40,39
-502.0,-6761.0,-32.50480769230769,59,39,39
-689.5,-7450.5,-35.64832535885167,59,39,40
623.0,-6827.5,-32.51190476190476,59,40,40
-41.5,-6869.0,-32.55450236966825,59,39,39
-114.5,-6983.5,-32.94103773584906,59,39,39
285.5,-6698.0,-31.44600938967136,59,39,39
-14.5,-6712.5,-31.36682242990654,59,39,39
-352.0,-7064.5,-32.85813953488372,60,39,39
-564.5,-7629.0,-35.31944444444444,60,39,39
446.0,-7183.0,-33.10138248847926,59,39,39
2098.0,-5085.0,-23.325688073394495,59,39,38
-502.0,-5587.0,-25.511415525114156,59,39,39
-552.0,-6139.0,-27.904545454545456,60,39,39
1085.5,-5053.5,-22.86651583710407,59,39,39
-514.5,-5568.0,-25.08108108108108,59,39,39
258.5,-5309.5,-23.809417040358746,59,39,39
-502.0,-5811.5,-25.944196428571427,59,39,39
-14.5,-5826.0,-25.893333333333334,60,39,39
948.0,-4878.0,-21.58407079646018,59,39,39
623.0,-4255.0,-18.744493392070485,59,40,39
-514.5,-4769.5,-20.91885964912281,59,39,39
358.5,-4411.0,-19.262008733624455,59,40,39
-514.5,-4925.5,-21.41521739130435,59,40,39
-539.5,-5465.0,-23.658008658008658,59,39,39
798.0,-4667.0,-20.11637931034483,59,40,39
-577.0,-5244.0,-22.506437768240342,59,39,39
798.0,-4446.0,-19.0,59,40,39
196.0,-4250.0,-18.085106382978722,59,40,39
-539.5,-4789.5,-20.29449152542373,59,40,39
-627.0,-5416.5,-22.854430379746834,59,40,40
410.5,-5006.0,-21.03361344537815,59,40,39
10.5,-4995.5,-20.901673640167363,58,40,39
-564.5,-5560.0,-23.166666666666668,59,40,40
-54.0,-5614.0,-23.29460580912863,59,40,39
173.0,-5441.0,-22.483471074380166,59,40,39
-539.5,-5980.5,-24.61111111111111,59,40,39
-514.5,-6495.0,-26.618852459016395,59,40,40
-502.0,-6997.0,-28.559183673469388,59,40,40
-64.5,-7061.5,-28.70528455284553,59,39,40
-179.0,-7240.5,-29.313765182186234,59,39,40
423.0,-6817.5,-27.489919354838708,59,39,39
335.5,-6482.0,-26.032128514056225,59,40,39
373.0,-6109.0,-24.436,59,40,39
-502.0,-6611.0,-26.338645418326692,59,40,39
135.5,-6475.5,-25.696428571428573,59,40,39
46.0,-6429.5,-25.41304347826087,58,40,39
498.0,-5931.5,-23.35236220472441,58,40,39
-502.0,-6433.5,-25.229411764705883,58,40,39
-77.0,-6510.5,-25.431640625,58,40,39
-227.0,-6737.5,-26.215953307392997,59,40,39
-502.0,-7239.5,-28.060077519379846,59,40,39
-429.0,-7668.5,-29.60810810810811,59,40,39
-64.5,-7733.0,-29.74230769230769,59,40,39
-514.5,-8247.5,-31.59961685823755,59,39,39
-539.5,-8787.0,-33.538167938931295,59,39,39
-114.5,-8901.5,-33.846007604562736,60,39,39
-164.5,-9066.0,-34.34090909090909,60,39,39
-229.0,-9295.0,-35.075471698113205,60,39,39
1048.0,-8247.0,-31.00375939849624,60,39,39
-964.5,-9211.5,-34.5,60,39,39
6523.0,-2688.5,-10.031716417910447,60,39,39
-539.5,-3228.0,-12.0,60,39,39
-677.0,-3905.0,-14.462962962962964,60,39,39
133.5,-3771.5,-13.916974169741698,60,39,39
-527.0,-4298.5,-15.803308823529411,60,39,39
735.5,-3563.0,-13.051282051282051,60,39,39
-502.0,-4065.0,-14.835766423357665,60,39,39
360.5,-3704.5,-13.47090909090909,60,39,39
-77.0,-3781.5,-13.701086956521738,60,39,39
-141.5,-3923.0,-14.16245487364621,60,39,39
873.0,-3050.0,-10.971223021582734,60,39,39
23.0,-3027.0,-10.849462365591398,59,39,39
-77.0,-3104.0,-11.085714285714285,60,39,38
198.0,-2906.0,-10.341637010676157,59,39,38
360.5,-2545.5,-9.02659574468085,59,40,38
-91.5,-2637.0,-9.318021201413428,59,39,38
-389.5,-3026.5,-10.65669014084507,59,39,38
148.0,-2878.5,-10.1,59,40,38
-164.5,-3043.0,-10.63986013986014,59,39,38
-514.5,-3557.5,-12.395470383275262,59,39,38
110.5,-3447.0,-11.96875,59,39,38
-116.5,-3563.5,-12.33044982698962,59,39,38
885.5,-2678.0,-9.23448275862069,59,40,37
373.0,-2305.0,-7.920962199312715,59,40,37
1423.0,-882.0,-3.0205479452054793,59,40,37
